duration,packets_in,packets_out,bytes_in,bytes_out,avg_packet_size,packet_rate,byte_rate,label
81.5305,435,484,204021.27,205729.41,445.87,11.27,5025.73,0
0.1733,199,312,87277.74,106874.02,379.94,2948.92,1120427.92,0
99.4062,274,357,94165.69,203115.72,471.13,6.35,2990.57,0
137.104,404,381,403485.04,108734.33,652.51,5.73,3735.99,0
66.8313,338,206,479258.25,19767.64,917.33,8.14,7466.95,0
231.094,597,230683,69124.06,271169208.49,1172.77,1000.8,1173714.13,1
128.4344,113,43,39176.99,18377.06,368.94,1.21,448.12,0
53.8385,297,428,150379.54,237182.56,534.57,13.47,7198.61,0
41.6541,282,490,103733.31,147500.22,325.43,18.53,6031.42,0
203.8728,423,186,293865.54,108537.78,660.76,2.99,1973.8,0
90.7042,49,241,23277.35,93087.49,401.26,3.2,1282.91,0
40.7138,118,166,163923.58,14448.76,628.07,6.98,4381.13,0
76.4735,316,113,364122.82,17604.66,889.81,5.61,4991.63,0
280.1887,454,196,456709.24,120852.68,888.56,2.32,2061.33,0
169.432,19,125,11266.44,77647.41,617.46,0.85,524.78,0
270.8363,281,155,383179.25,29490.33,946.49,1.61,1523.69,0
2764.5651,657,482669,95837.95,563158003.01,1165.37,174.83,203740.49,1
151.5284,365,191,133572.71,101022.91,421.93,3.67,1548.2,0
127.7059,346,178,387997.4,104681.55,940.23,4.1,3857.92,0
129.0993,133,140,104193.74,63527.29,614.36,2.11,1299.16,0
239.6381,257,382,35822.04,304793.88,533.05,2.67,1421.38,0
60.6803,71,452,32767.73,55627.15,169.02,8.62,1456.73,0
40.3591,457,372,570954.94,33701.23,729.38,20.54,14981.89,0
106.3863,150,48,120964.64,31137.07,768.19,1.86,1429.71,0
0.5093,1,1,41.45,40.33,40.89,3.93,160.59,1
220.9955,485,304,308118.77,72492.48,482.4,3.57,1722.26,0
179.6892,161,238,34774.9,136843.18,430.12,2.22,955.08,0
157.9771,235,180,96891.81,109239.17,496.7,2.63,1304.82,0
41.8917,339,272,434280.01,49853.63,792.36,14.59,11556.79,0
109.4975,238,213,291503.94,92198.9,850.78,4.12,3504.22,0
178.671,202,293,204372.77,178563.17,773.61,2.77,2143.25,0
61.956,298,23,47005.65,2430.39,154.01,5.18,797.92,0
42.2541,439,444,89890.3,147141.21,268.44,20.9,5609.67,0
128.3676,379,370,73707.91,50905.03,166.37,5.83,970.75,0
8.2798,14,317,13043.49,197193.89,635.16,39.98,25391.72,0
29.2766,226,132,337440.54,99552.97,1220.65,12.23,14926.36,0
37.0069,37500,45,2367556.99,2806.26,63.13,1014.54,64051.86,1
129.6494,63,180,28189.72,27683.21,229.93,1.87,430.95,0
4.3766,239,100,198446.1,58488.49,757.92,77.46,58705.97,0
62.6541,298,400,425867.33,258873.16,981.0,11.14,10928.91,0
71.9031,277,71,411534.99,31440.59,1272.92,4.84,6160.73,0
35.8401,117,235,125485.68,131098.97,728.93,9.82,7159.15,0
259.1676,185,286,180551.02,74273.87,541.03,1.82,983.24,0
260.815,471,471,100710.05,51531.84,161.62,3.61,583.72,0
63.4266,160,169,26665.9,70935.22,296.66,5.19,1538.81,0
87.9775,315,94,191507.29,63519.41,623.54,4.65,2898.77,0
259.7915,285,148,47310.27,81545.28,297.59,1.67,496.0,0
148.6522,131,123,181821.46,9369.92,752.72,1.71,1286.17,0
1.0025,32429,87,2854387.48,8740.44,88.05,32434.3,2855934.44,1
294.765,288,432,53055.28,267483.74,445.19,2.44,1087.44,0
90.5086,100,400,130025.04,180964.99,621.98,5.52,3436.03,0
1933.1669,376,126281,33568.32,140106193.91,1106.45,65.52,72492.32,1
171.7487,598,439923,117736.13,533650204.1,1211.67,2564.92,3107842.56,1
117.1111,369,326,433371.82,179351.56,881.62,5.93,5231.98,0
119.9779,270,125,60544.42,68257.53,326.08,3.29,1073.55,0
187.5147,370,404,385357.34,301405.88,887.29,4.13,3662.45,0
251.3161,452,137,489346.48,83045.85,971.8,2.34,2277.58,0
31.0767,100,409,123144.24,296266.32,823.99,16.38,13495.99,0
157.0724,462,253,375473.41,108472.8,676.85,4.55,3081.04,0
1.0234,1,0,53.44,36.48,89.92,0.98,87.86,1
177.9267,488,103,205410.6,73641.79,472.17,3.32,1568.36,0
2088.8276,959,292626,119303.74,411077726.83,1400.61,140.55,196855.41,1
14.0704,227,207,323337.8,17907.2,786.28,30.84,24252.73,0
97.5439,490,189,335717.79,61049.42,584.34,6.96,4067.57,0
279.8465,28,391,40113.1,62334.36,244.5,1.5,366.08,0
166.3938,320,142,411580.8,17537.38,928.83,2.78,2578.93,0
286.2617,202,121,132443.94,90118.03,689.05,1.13,777.48,0
291.6344,147,249,20605.63,122117.64,360.41,1.36,489.39,0
1059.6409,454,61455,39747.05,74519297.92,1204.33,58.42,70362.56,1
216.5715,76,358,60557.43,93282.09,354.47,2.0,710.34,0
257.4497,161,149,192514.92,18003.47,679.09,1.2,817.71,0
11.1997,416,351,458254.8,101011.78,729.16,68.48,49936.04,0
17.3961,153,305,227599.34,100577.42,716.54,26.33,18865.0,0
175.4639,436,474,649977.0,296098.3,1039.64,5.19,5391.85,0
134.4418,86,416,31696.78,161327.71,384.51,3.73,1435.75,0
247.9182,45,75,21750.73,30092.64,432.03,0.48,209.11,0
4.282,280,165,110591.53,44983.21,349.61,103.92,36331.95,0
103.2968,389,364,482779.85,92412.85,763.87,7.29,5568.35,0
87.1749,135,42,169983.42,29329.8,1126.06,2.03,2286.36,0
136.7768,93,34,67790.22,26095.18,739.26,0.93,686.41,0
45.2217,371,196,317220.59,68443.25,680.18,12.54,8528.28,0
198.5663,151,369,205356.97,37278.67,466.61,2.62,1221.94,0
196.2739,33,493,34818.81,230222.07,503.88,2.68,1350.36,0
138.6484,480,228,576511.73,67218.38,909.22,5.11,4642.89,0
238.6321,109,29,13355.64,5101.08,133.74,0.58,77.34,0
194.9426,411,429,54970.49,313481.08,438.63,4.31,1890.05,0
229.2146,406,105,333928.96,80335.63,810.69,2.23,1807.32,0
170.0474,249,157,266018.57,104539.54,912.7,2.39,2179.15,0
190.9531,176,289,220017.95,20992.31,518.3,2.44,1262.14,0
93.8039,425,275,481104.54,219369.69,1000.68,7.46,7467.43,0
123.2028,389,202,568444.81,71967.9,1083.61,4.8,5198.04,0
83.5633,365,459,249747.08,77063.36,396.61,9.86,3910.93,0
157.108,207,383,93859.87,87652.67,307.65,3.76,1155.34,0
272.062,17,354,23701.69,117257.57,379.94,1.36,518.11,0
133.2851,35,84,23284.21,41303.4,542.75,0.89,484.58,0
69.6922,140,335,141974.02,267785.1,862.65,6.82,5879.55,0
89.8678,369,480,448582.89,207757.93,773.08,9.45,7303.41,0
244.1382,165,169,136280.4,23283.9,477.74,1.37,653.58,0
109.3637,39,237,56199.69,90029.8,529.82,2.52,1337.09,0
288.6939,284,384,131386.95,184157.85,472.37,2.31,1093.01,0
49.3073,229,497,210498.92,130206.48,469.29,14.72,6909.84,0
213.3097,384,420,541611.8,156684.95,868.53,3.77,3273.63,0
46.0778,217,363,160774.52,256514.66,719.46,12.59,9056.19,0
181.5647,158,136,152931.79,77644.28,784.27,1.62,1269.94,0
0.3758,1,0,44.18,6.96,51.14,2.66,136.1,1
256.6387,240,300,64735.42,73523.67,256.04,2.1,538.73,0
76.8707,450,496,257308.25,327896.31,618.61,12.31,7612.84,0
171.2313,57,60,36709.41,38598.19,643.65,0.68,439.8,0
247.1441,264,265,72250.5,166705.79,451.71,2.14,966.87,0
205.5022,15,261,2509.81,159348.3,586.44,1.34,787.62,0
267.4145,179,456,188141.17,112370.7,473.25,2.37,1123.77,0
10.9656,495,453,378267.05,29626.28,430.27,86.45,37197.53,0
298.2692,269,464,281100.04,53898.84,457.02,2.46,1123.14,0
139.4857,425,240,332769.76,63936.08,596.55,4.77,2844.06,0
246.5947,330,484,216196.36,151017.3,451.12,3.3,1489.14,0
61.0004,440,75,152760.49,7942.16,312.04,8.44,2634.45,0
16.6042,46924,16,4286884.08,722.61,91.34,2826.99,258223.56,1
187.71,386,491,214910.65,149364.67,415.37,4.67,1940.63,0
111.1949,396,482,406535.77,77162.57,550.91,7.9,4350.0,0
133.7917,54,364,50153.81,269430.71,764.56,3.12,2388.67,0
257.2473,437,184,168089.24,130247.34,480.41,2.41,1159.73,0
5.7543,409,21,263909.68,16769.67,652.74,74.73,48777.26,0
1.9021,1,1,42.33,9.05,25.69,1.05,27.01,1
208.5145,368,378,379355.69,25692.12,542.96,3.58,1942.54,0
0.9086,1,0,45.16,35.79,80.95,1.1,89.09,1
151.0467,398,491,345306.2,97903.11,498.55,5.89,2934.25,0
79.9751,256,200,272227.73,80377.68,773.26,5.7,4408.94,0
232.6574,183,84,89008.07,13620.47,384.38,1.15,441.11,0
252.574,388,88,286561.51,65858.43,740.38,1.88,1395.31,0
255.9231,282,23,93863.57,10910.32,343.52,1.19,409.4,0
69.1217,295,444,379779.91,273794.35,884.4,10.69,9455.41,0
186.8986,376,158,50018.03,25853.49,142.08,2.86,405.95,0
109.3962,104,101,95778.55,65060.96,784.58,1.87,1470.25,0
0.4914,1,0,58.57,29.64,88.21,2.03,179.51,1
46.4008,401,310,121684.82,176905.79,419.96,15.32,6435.03,0
36.3105,483,151,492184.55,69782.37,886.38,17.46,15476.71,0
244.0096,263,52,120389.45,14309.34,427.62,1.29,552.02,0
22.2618,474,458,319333.22,91839.77,441.17,41.87,18469.86,0
199.1528,60,60,30653.55,16195.13,390.41,0.6,235.24,0
61.7918,371,406,141751.06,172193.22,404.05,12.57,5080.68,0
54.014,400,312,102211.48,178015.84,393.58,13.18,5188.05,0
227.8629,240,207,78846.09,29976.05,243.45,1.96,477.58,0
183.0809,136,198,94666.32,20549.83,344.96,1.82,629.32,0
40.0174,489,498,592862.31,206955.34,810.35,24.66,19986.76,0
2494.8812,932,93447,87999.89,135961424.56,1441.52,37.83,54531.42,1
255.2274,339,452,237892.4,267709.59,639.19,3.1,1980.99,0
268.0883,361,136,462127.36,30443.07,991.09,1.85,1837.34,0
36.069,381,82,348855.8,56191.68,874.83,12.84,11229.8,0
256.7362,433,92,545248.01,49020.33,1131.94,2.04,2314.7,0
245.7314,489,415,83552.12,101275.65,204.46,3.68,752.15,0
213.9113,192,500,258249.6,150476.98,590.65,3.23,1910.73,0
159.3529,376,469,41351.33,238664.75,331.38,5.3,1757.21,0
97.5169,317,270,94758.46,116772.56,360.36,6.02,2169.17,0
176.0109,287,389,69491.96,71037.77,207.88,3.84,798.41,0
2025.3746,887,467332,133302.44,608118145.62,1299.07,231.18,300315.52,1
160.3222,42,242,49500.06,133026.39,642.7,1.77,1138.5,0
87.221,97,463,97121.88,364616.62,824.53,6.42,5293.89,0
162.7886,229,309,252885.74,44608.64,552.96,3.3,1827.49,0
178.2084,317,266,437963.26,39593.86,819.14,3.27,2679.77,0
255.9829,172,472,28186.95,252391.24,435.68,2.52,1096.08,0
191.2452,444,375,587953.83,39314.84,765.9,4.28,3279.92,0
199.3363,173,237,132843.33,34046.16,407.05,2.06,837.23,0
166.7844,383,173,162279.44,116146.16,500.77,3.33,1669.37,0
191.5278,291,315,274135.15,173777.38,739.13,3.16,2338.63,0
201.9829,325,490,67646.56,199433.79,327.71,4.03,1322.29,0
45.8907,452,222,269472.26,16426.46,424.18,14.69,6229.99,0
128.0902,177,73,109216.63,53513.78,650.92,1.95,1270.44,0
1056.3023,175,456048,31089.55,621050379.22,1361.36,431.91,587977.02,1
104.3276,255,381,198099.74,23910.64,349.07,6.1,2128.01,0
196.6258,178,442,23997.63,352378.61,607.06,3.15,1914.18,0
298.2605,105,8,145744.16,1831.23,1305.98,0.38,494.79,0
242.4532,29,237,21412.54,18501.06,150.05,1.1,164.62,0
47.0946,210,491,212139.62,53977.39,379.62,14.88,5650.68,0
0.3985,1,1,42.47,33.83,38.15,5.02,191.47,1
18.4111,466,222,412233.87,115854.59,767.57,37.37,28683.1,0
40.5582,394,346,176890.07,138027.16,425.56,18.25,7764.57,0
174.0783,264,275,305316.93,113880.62,777.73,3.1,2408.1,0
272.3386,319,350,154706.42,202321.96,533.67,2.46,1310.97,0
275.7175,110,205,147429.65,122608.5,857.26,1.14,979.4,0
21.305,227,109,282759.5,27142.91,922.33,15.77,14545.99,0
147.8069,135,456,185863.46,92356.84,470.76,4.0,1882.32,0
48.2815,13346,15,987742.05,801.96,73.99,276.73,20474.58,1
75.1363,441,330,347899.03,87258.3,564.41,10.26,5791.57,0
35.3623,320,222,348777.58,90953.17,811.31,15.33,12435.0,0
198.7863,408,223,76775.73,128316.48,325.03,3.17,1031.72,0
111.5877,482,317,100546.22,40947.0,177.09,7.16,1268.0,0
1.5069,1,1,58.33,51.04,54.68,1.33,72.58,1
116.4867,281,363,59309.58,267691.19,507.77,5.53,2807.19,0
200.4274,472,263,579056.56,71286.13,884.82,3.67,3244.78,0
4.715,304,110,367974.19,87769.48,1100.83,87.8,96657.58,0
47.1914,341,158,330426.09,30862.79,724.03,10.57,7655.81,0
273.7177,486,121,339742.75,43285.83,631.02,2.22,1399.36,0
33.0663,253,453,43147.33,312822.15,504.21,21.35,10765.32,0
78.9556,181,433,53610.39,111732.28,269.29,7.78,2094.12,0
98.5811,194,239,208497.34,105007.67,724.03,4.39,3180.17,0
209.101,337,479,217350.63,266231.32,592.62,3.9,2312.67,0
228.0621,281,115,143216.9,91752.5,593.36,1.74,1030.29,0
298.4989,40,33,16229.74,23617.07,545.85,0.24,133.49,0
239.7106,53,411,65033.34,58400.62,266.02,1.94,514.93,0
84.8546,197,288,190801.16,36222.18,468.09,5.72,2675.44,0
35.0953,237,61,161500.73,44921.66,692.69,8.49,5881.77,0
90.9231,317,286,52461.31,41878.99,156.45,6.63,1037.58,0
236.6303,430,424,173940.7,330162.95,590.29,3.61,2130.34,0
196.0811,81,80,80325.16,55415.86,843.11,0.82,692.27,0
238.2076,217,280,38700.92,106287.59,291.73,2.09,608.66,0
174.3945,193,473,33049.81,253219.31,429.83,3.82,1641.5,0
132.4696,368,51,302651.25,26641.2,785.9,3.16,2485.8,0
295.1992,86,232,44358.69,31776.73,239.42,1.08,257.91,0
200.6143,426,319,443428.03,41801.12,651.31,3.71,2418.72,0
264.2052,442,191,423577.53,18541.04,698.45,2.4,1673.39,0
125.8159,221,195,38473.59,40185.04,189.08,3.31,625.19,0
84.1776,355,190,522302.71,74900.49,1095.79,6.47,7094.56,0
163.1262,486,494,320824.6,234792.49,566.96,6.01,3406.06,0
221.0806,74,182,27719.02,119253.99,574.11,1.16,664.79,0
154.4669,261,357,234041.92,91336.51,526.5,4.0,2106.46,0
229.708,351,265,375081.32,200252.21,933.98,2.68,2504.63,0
72.8108,247,314,101915.99,186854.89,514.74,7.7,3966.05,0
1.3876,1,0,55.18,27.96,83.14,0.72,59.91,1
123.7307,161,191,57509.72,127312.48,525.06,2.84,1493.75,0
155.4135,18,76,4384.59,8901.0,141.34,0.6,85.49,0
236.9513,438,157,59166.01,19097.43,131.54,2.51,330.29,0
33.575,214,285,55854.38,125950.15,364.34,14.86,5414.87,0
90.1619,31,369,5427.49,251358.11,641.96,4.44,2848.05,0
50.9463,39,315,48014.05,220968.53,759.84,6.95,5279.73,0
241.0116,395,16,357596.6,2054.35,875.06,1.71,1492.26,0
159.793,82,65,29043.63,9640.38,263.16,0.92,242.09,0
200.4679,238,320,331113.6,28534.74,644.53,2.78,1794.04,0
137.5581,259,12,370200.28,6358.19,1389.51,1.97,2737.45,0
191.63,321,459,478280.12,79088.01,714.57,4.07,2908.56,0
292.8615,438,484,381579.75,298423.15,737.53,3.15,2321.93,0
193.0451,272,372,364454.48,204111.78,882.87,3.34,2945.25,0
195.5458,381,77,72149.68,15425.79,191.21,2.34,447.85,0
14.7132,39,377,32605.45,74129.38,256.57,28.27,7254.36,0
67.8291,498,184,524636.91,84506.96,893.17,10.05,8980.57,0
15.6353,204,310,163222.55,47483.08,409.93,32.87,13476.26,0
10.9696,398,72,148769.67,52117.4,427.42,42.85,18313.03,0
297.9331,207,191,51504.23,97115.17,373.42,1.34,498.83,0
143.4831,411,327,566022.0,258992.26,1117.91,5.14,5749.9,0
84.3408,61,182,83133.18,26110.25,449.56,2.88,1295.26,0
1.7827,1,0,40.67,10.91,51.58,0.56,28.94,1
182.3307,298,260,421472.42,59718.8,862.35,3.06,2639.11,0
25.155,77,22,78930.69,1997.42,817.46,3.94,3217.17,0
997.4059,618,65473,69563.33,80152024.14,1213.81,66.26,80430.23,1
74.996,303,316,271542.39,193929.15,751.97,8.25,6206.61,0
45.8625,309,34,412876.65,7299.82,1225.0,7.48,9161.66,0
105.8346,277,311,255588.71,202052.21,778.3,5.56,4324.12,0
122.353,108,285,13491.45,203627.14,552.46,3.21,1774.53,0
75.2435,19,369,21502.32,103213.77,321.43,5.16,1657.5,0
275.3117,92,383,28323.01,130595.89,334.57,1.73,577.23,0
19.5121,213,459,22983.03,242500.4,395.06,34.44,13606.1,0
107.0267,367,461,74293.83,112460.86,225.55,7.74,1744.94,0
83.8187,192,260,153605.41,18160.7,380.01,5.39,2049.26,0
5.6907,123,19,152146.87,4610.78,1103.93,24.95,27546.2,0
198.3191,467,311,88297.65,88715.26,227.52,3.92,892.57,0
77.9462,278,343,343103.76,245798.06,948.31,7.97,7555.24,0
297.6742,95,143,115918.77,112936.76,961.58,0.8,768.81,0
244.4488,427,103,226823.5,36709.69,497.23,2.17,1078.07,0
272.7887,202,76,245814.09,39256.0,1025.43,1.02,1045.02,0
205.546,476,65,105557.66,43002.33,274.6,2.63,722.76,0
1.4019,109,444,20146.12,122989.83,258.84,394.47,102101.88,0
82.4455,166,42,150632.5,7694.74,761.19,2.52,1920.39,0
253.2933,438,492,458225.77,55727.46,552.64,3.67,2029.08,0
245.3968,70,244,84885.84,125478.04,669.95,1.28,857.24,0
48.1582,70,5,59418.11,3552.8,839.61,1.56,1307.58,0
92.7082,358,420,298453.8,166384.99,597.48,8.39,5014.0,0
56.2381,66,166,67722.73,24955.6,399.48,4.13,1647.96,0
268.3017,395,136,581243.66,44438.2,1178.31,1.98,2332.01,0
221.6641,213,144,173307.18,101791.07,770.58,1.61,1241.06,0
45.7399,43466,90,2705158.14,4510.62,62.21,952.25,59240.79,1
270.9917,221,97,287571.79,62789.88,1101.77,1.17,1292.89,0
1502.154,666,47271,103467.13,57905901.26,1210.12,31.91,38617.46,1
151.292,359,317,127295.45,222648.45,517.67,4.47,2313.04,0
263.5135,488,281,668826.38,77244.3,970.18,2.92,2831.24,0
57.8563,13258,23,928731.97,2635.17,70.13,229.55,16097.95,1
288.2256,88,370,103971.06,35695.31,304.95,1.59,484.57,0
246.3206,203,121,113021.74,17541.81,402.97,1.32,530.06,0
193.5125,438,157,634879.64,117295.69,1264.16,3.07,3886.96,0
61.4158,255,315,130269.4,34007.24,288.2,9.28,2674.83,0
67.7233,311,253,325674.39,159215.5,859.73,8.33,7159.86,0
199.5922,309,238,55053.45,17109.6,131.93,2.74,361.55,0
237.9439,460,427,336840.26,143213.99,541.21,3.73,2017.51,0
14.4231,43229,33,2168502.1,2470.96,50.18,2999.5,150520.72,1
225.9313,454,181,449626.17,49164.26,785.5,2.81,2207.71,0
75.6655,126,425,134496.04,61775.79,356.21,7.28,2593.94,0
277.9635,107,224,78355.91,159437.62,718.41,1.19,855.48,0
246.8488,109,201,26005.13,121417.33,475.56,1.26,597.22,0
54.997,274,38,364371.51,23211.8,1242.25,5.67,7047.35,0
102.6329,71,181,85698.02,74236.34,634.66,2.46,1558.31,0
36.4646,77,18,50956.46,4483.29,583.58,2.61,1520.37,0
159.5197,171,93,139988.42,40908.11,685.21,1.65,1134.01,0
125.0039,309,157,384341.41,26698.75,882.06,3.73,3288.22,0
68.8218,88,298,118524.64,108992.2,589.42,5.61,3305.88,0
174.7796,353,174,105411.1,134961.18,456.11,3.02,1375.29,0
6.6168,39628,98,4002393.48,7362.5,100.94,6003.83,605998.7,1
277.1471,261,237,43882.01,117528.03,324.12,1.8,582.4,0
162.5748,352,253,517398.03,29300.98,903.63,3.72,3362.75,0
161.9525,142,266,153981.23,18689.96,423.21,2.52,1066.18,0
80.8996,500,91,447255.8,14776.77,781.78,7.31,5711.19,0
265.518,330,258,416929.1,181017.11,1016.92,2.21,2252.0,0
16.6893,48369,63,4375254.45,2637.51,90.39,2901.98,262317.07,1
290.8499,170,497,181585.9,159835.42,511.88,2.29,1173.87,0
40.7441,61,468,79666.16,159851.02,452.77,12.98,5878.58,0
263.5912,10,66,12890.21,13441.44,346.47,0.29,99.9,0
171.2417,102,97,62745.72,45129.32,542.09,1.16,629.96,0
99.4025,37,167,52818.18,71673.53,610.25,2.05,1252.4,0
243.1266,133,31,31581.53,19441.4,311.12,0.67,209.86,0
24.9307,133,59,63979.84,4860.33,358.54,7.7,2761.26,0
77.7945,123,46,146006.09,8302.76,913.07,2.17,1983.54,0
1.1997,1,0,56.85,50.06,106.91,0.83,89.11,1
259.2916,476,473,308163.71,158962.36,492.23,3.66,1801.55,0
168.8286,376,53,248222.63,26369.73,640.08,2.54,1626.46,0
171.8106,23,6,24958.45,2544.76,948.39,0.17,160.08,0
130.1096,195,376,145839.19,160659.11,536.77,4.39,2355.69,0
210.4146,59,404,50549.23,275544.93,704.31,2.2,1549.77,0
197.5575,312,380,70152.82,294698.59,527.24,3.5,1846.81,0
96.3082,307,182,443079.42,50155.78,1008.66,5.08,5121.42,0
233.6976,322,384,215342.79,292247.08,718.97,3.02,2171.99,0
237.3146,216,384,257520.65,125538.07,638.43,2.53,1614.14,0
207.7012,88,363,16767.85,274260.31,645.3,2.17,1401.19,0
41.0016,44344,11,3715871.52,966.01,83.8,1081.79,90650.94,1
32.8852,496,416,307160.38,199772.44,555.85,27.73,15415.21,0
164.5417,480,478,273778.65,198648.13,493.14,5.82,2871.17,0
228.5983,188,144,257133.04,87145.04,1036.98,1.45,1506.04,0
13.6418,198,82,99429.86,45257.67,516.74,20.53,10606.15,0
95.7321,493,376,728533.94,93194.67,945.6,9.08,8583.63,0
149.3745,28,90,10087.36,16365.45,224.18,0.79,177.09,0
155.6438,460,81,229219.04,19745.76,460.19,3.48,1599.58,0
72.1125,176,111,143662.18,62338.98,717.77,3.98,2856.66,0
78.8818,147,32,96124.91,25361.0,678.69,2.27,1540.1,0
58.0032,487,118,590606.1,46497.1,1053.06,10.43,10983.93,0
285.2397,20,160,20271.35,107476.68,709.71,0.63,447.86,0
100.3482,460,460,118981.15,191604.99,337.59,9.17,3095.09,0
154.2635,246,214,352751.81,150715.61,1094.49,2.98,3263.68,0
31.8637,136,151,131076.44,14791.83,508.25,9.01,4577.89,0
174.0764,472,64,132651.98,32963.43,308.98,3.08,951.39,0
