src_ip,dst_ip,src_port,dst_port,protocol,duration,packets_in,packets_out,bytes_in,bytes_out,avg_packet_size,packet_rate,byte_rate,label
10.0.251.47,8.8.8.8,64243,443,TCP,10.9435,3,4,186,1948,304.86,277.07,84468.02,0
10.0.251.47,8.8.4.4,43721,443,TCP,10.9429,3,4,186,2012,314.0,283.46,89005.87,0
10.0.251.47,8.8.4.4,7127,443,TCP,10.9176,3,4,186,1948,304.86,95.35,29069.21,0
10.0.251.47,8.8.8.8,21892,443,TCP,10.9173,3,4,186,1948,304.86,95.75,29191.29,0
10.0.251.47,193.84.4.4,45206,53,TCP,10.8275,5,6,657,377,94.0,15.3,1437.93,0
10.0.251.47,193.84.4.4,62434,53,TCP,10.8274,5,6,640,377,92.45,13.5,1248.39,0
10.0.251.47,8.8.8.8,14376,53,TCP,10.7392,6,6,455,375,69.17,120.64,8344.06,0
10.0.251.47,8.8.8.8,21232,53,TCP,10.7391,5,6,355,375,66.36,110.65,7343.03,0
10.0.251.47,193.84.4.4,58341,53,TCP,10.7346,4,6,246,393,63.9,74.73,4774.96,0
10.0.251.47,193.84.4.4,33104,53,TCP,10.7345,5,6,569,393,87.45,98.53,8616.52,0
10.0.251.47,193.84.4.4,58625,53,TCP,10.7323,5,6,436,388,74.91,100.45,7524.77,0
10.0.251.47,193.84.4.4,45216,53,TCP,10.7322,5,6,544,388,84.73,104.47,8851.57,0
10.0.251.47,193.84.4.4,28128,53,TCP,10.7194,4,6,246,374,62.0,54.88,3402.33,0
10.0.251.47,193.84.4.4,58844,53,TCP,10.7192,5,6,474,374,77.09,60.44,4659.24,0
10.0.251.47,193.84.4.4,44938,53,TCP,10.7022,5,6,431,383,74.0,40.94,3029.37,0
10.0.251.47,193.84.4.4,3729,53,TCP,10.7021,5,6,519,383,82.0,56.91,4666.78,0
10.0.251.47,193.84.4.4,65079,53,TCP,10.4177,4,6,246,370,61.6,34.09,2099.9,0
10.0.251.47,193.84.4.4,29077,53,TCP,10.4176,5,6,410,370,70.91,54.47,3862.32,0
10.0.251.47,193.84.4.4,28045,53,TCP,10.3694,5,6,428,384,73.82,42.15,3111.71,0
10.0.251.47,193.84.4.4,23198,53,TCP,10.3692,5,6,398,384,71.09,42.18,2998.31,0
10.0.251.47,8.8.4.4,14016,443,TCP,10.2001,4,5,246,3526,419.11,118.99,49869.77,0
10.0.251.47,8.8.8.8,32800,443,TCP,10.1392,3,4,186,1980,309.43,228.36,70659.62,0
10.0.251.47,8.8.4.4,14440,443,TCP,10.1237,3,4,186,1980,309.43,248.46,76882.12,0
10.0.251.47,8.8.8.8,21041,443,TCP,10.1076,3,4,186,1980,309.43,409.07,126577.84,0
10.0.251.47,172.217.24.195,61981,443,TCP,21.0103,3,3,253,163,69.33,1.01,70.25,0
10.0.251.47,193.84.4.4,49803,53,TCP,19.9184,5,6,513,381,81.27,37.63,3058.21,0
10.0.251.47,193.84.4.4,10509,53,TCP,19.9183,5,6,472,381,77.55,52.57,4076.83,0
10.0.251.47,193.84.4.4,39829,53,TCP,19.5639,4,6,246,379,62.5,69.24,4327.42,0
10.0.251.47,193.84.4.4,28900,53,TCP,19.5637,5,6,990,379,124.45,76.29,9494.15,0
10.0.251.47,193.84.4.4,37585,53,TCP,19.3821,5,6,415,371,71.45,60.33,4311.05,0
10.0.251.47,193.84.4.4,3407,53,TCP,19.382,5,6,366,371,67.0,61.0,4087.07,0
216.239.34.223,10.0.251.47,443,34181,TCP,19.2188,2,2,108,187,73.75,642.57,47389.56,0
10.0.251.47,8.8.4.4,20925,443,TCP,18.8929,3,4,186,1948,304.86,347.81,106032.0,0
10.0.251.47,8.8.4.4,36909,443,TCP,18.8723,4,5,246,3526,419.11,135.42,56756.8,0
10.0.251.47,8.8.8.8,3933,443,TCP,18.7061,3,4,186,1948,304.86,356.52,108689.01,0
10.0.251.47,8.8.8.8,62487,443,TCP,18.6859,3,4,186,1948,304.86,352.08,107333.27,0
10.0.251.47,150.171.22.17,61705,443,TCP,18.5867,14,15,10225,3431,470.9,96.2,45298.04,0
10.0.251.47,193.84.4.4,22520,53,TCP,18.493,5,6,503,377,80.0,104.17,8333.33,0
10.0.251.47,193.84.4.4,32644,53,TCP,18.4928,5,6,471,377,77.09,26.18,2018.23,0
10.0.251.47,8.8.4.4,1222,443,TCP,17.0313,3,4,186,2044,318.57,104.35,33244.38,0
10.0.251.47,8.8.4.4,63745,443,TCP,16.963,3,4,186,2012,314.0,277.9,87260.31,0
10.0.251.47,8.8.8.8,58144,443,TCP,16.6432,3,4,186,2012,314.0,322.15,101155.14,0
10.0.251.47,8.8.8.8,30372,443,TCP,16.6208,3,4,186,2044,318.57,104.21,33199.34,0
10.0.251.47,193.84.4.4,46728,53,TCP,16.3711,5,6,461,370,75.55,45.81,3460.91,0
10.0.251.47,193.84.4.4,38014,53,TCP,16.371,5,6,412,370,71.09,45.86,3259.99,0
10.0.251.47,193.84.4.4,40910,53,TCP,15.8958,5,6,416,371,71.55,65.22,4666.25,0
10.0.251.47,193.84.4.4,32723,53,TCP,15.8956,5,6,366,371,67.0,65.33,4377.34,0
10.0.251.47,193.84.4.4,59125,53,TCP,15.8954,5,6,422,371,72.09,60.16,4336.82,0
10.0.251.47,193.84.4.4,31064,53,TCP,15.8952,6,6,426,371,66.42,65.67,4361.7,0
10.0.251.47,8.8.4.4,16572,443,TCP,14.1361,3,4,186,1948,304.86,133.32,40642.2,0
10.0.251.47,193.84.4.4,30161,53,TCP,14.1203,5,6,428,380,73.45,81.92,6017.5,0
10.0.251.47,193.84.4.4,41880,53,TCP,14.1201,5,6,384,380,69.45,82.02,5696.6,0
10.0.251.47,8.8.4.4,2125,443,TCP,14.0831,3,4,186,1948,304.86,460.04,140247.11,0
10.0.251.47,8.8.8.8,23461,443,TCP,13.6403,3,4,186,2044,318.57,112.4,35808.91,0
10.0.251.47,8.8.8.8,63378,443,TCP,13.5773,3,4,186,1980,309.43,389.34,120473.89,0
10.0.251.47,8.8.8.8,38476,53,TCP,11.6135,5,6,454,378,75.64,109.87,8309.94,0
10.0.251.47,8.8.8.8,26805,53,TCP,11.6134,5,6,388,378,69.64,121.1,8433.24,0
10.0.251.47,57.144.52.141,27570,443,TCP,11.5386,15,12,3383,3969,272.3,52.26,14229.56,0
10.0.251.47,193.84.4.4,57329,53,TCP,11.5216,4,6,246,391,63.7,83.92,5345.48,0
10.0.251.47,193.84.4.4,45408,53,TCP,11.5214,5,6,559,391,86.36,109.9,9491.27,0
10.0.251.47,193.84.4.4,65132,53,TCP,10.6931,5,6,474,375,77.18,113.88,8789.27,0
10.0.251.47,193.84.4.4,59984,53,TCP,10.693,5,6,428,375,73.0,49.54,3616.37,0
10.0.251.47,10.0.251.159,21108,7680,TCP,46.4991,0,5,0,330,66.0,0.33,21.96,0
10.0.251.47,142.251.150.119,57032,443,TCP,34.1285,8,8,1992,2769,297.56,0.69,206.73,0
10.0.251.47,192.178.211.84,51923,443,TCP,30.971,16,18,10678,5891,487.32,1.71,832.97,0
10.0.251.47,34.160.122.198,26969,443,TCP,30.9708,48,41,96129,4548,1131.2,4.48,5068.29,0
10.0.251.47,142.251.151.119,25521,443,TCP,30.9704,48,32,56054,6088,776.77,4.03,3128.52,0
10.0.251.47,142.251.151.119,34773,443,TCP,30.9552,14,13,6660,2963,356.41,1.36,484.84,0
10.0.251.47,172.217.24.3,3703,443,TCP,30.9548,17,15,7581,4857,388.69,1.61,626.66,0
10.0.251.47,216.239.36.223,47099,443,TCP,30.944,39,33,12303,6620,262.82,3.63,953.94,0
10.0.251.47,142.251.222.203,4133,443,TCP,30.9375,40,28,10693,6233,248.91,3.43,853.53,0
10.0.251.47,142.251.12.188,40490,5228,TCP,30.927,9,10,8883,2557,602.11,0.94,568.01,0
10.0.251.47,104.18.24.232,48254,443,TCP,30.7805,12,12,10000,2898,537.42,1.22,655.61,0
10.0.251.47,142.250.207.78,44809,443,TCP,30.7402,18,17,9137,3405,358.34,1.78,638.8,0
10.0.251.47,216.239.32.223,35484,443,TCP,30.6652,18,15,7035,3552,320.82,1.69,541.31,0
10.0.251.47,216.239.32.223,53651,443,TCP,30.6418,15,14,7122,4184,389.86,1.48,578.76,0
10.0.251.47,216.239.38.223,32914,443,TCP,30.5964,19,17,8014,4290,341.78,1.85,631.3,0
10.0.251.47,216.239.36.223,42089,443,TCP,30.5355,19,16,7589,5015,360.11,1.8,648.74,0
10.0.251.47,142.251.221.206,32047,443,TCP,30.2114,17,15,11059,5087,504.56,1.68,845.14,0
10.0.251.47,142.250.67.42,23777,443,TCP,30.1504,20,15,12354,3367,449.17,1.84,825.54,0
10.0.251.47,49.44.197.178,50944,443,TCP,30.1101,12,13,6768,3599,414.68,1.32,545.53,0
10.0.251.47,142.250.67.42,61273,443,TCP,29.9342,21,18,14032,5629,504.13,2.07,1044.27,0
10.0.251.47,142.251.222.203,23745,443,TCP,29.8518,18,16,9027,5701,433.18,1.81,785.7,0
10.0.251.47,142.250.183.161,9227,443,TCP,29.7028,21,16,12953,5768,505.97,1.99,1006.72,0
10.0.251.47,44.232.72.230,43105,443,TCP,29.4753,16,14,7882,3821,390.1,1.63,637.14,0
10.0.251.47,142.251.43.142,19672,443,TCP,29.2319,17,14,9268,3244,403.61,1.71,690.32,0
10.0.251.47,142.251.43.142,2598,443,TCP,29.0238,18,16,9830,5957,464.32,1.9,881.11,0
10.0.251.47,3.111.241.224,1412,443,TCP,28.1054,27,13,26188,3965,753.83,2.35,1773.82,0
10.0.251.47,142.251.223.238,43234,443,TCP,26.161,31,19,34535,5543,801.56,3.32,2662.29,0
10.0.251.47,142.251.221.99,65211,443,TCP,25.809,8,9,5505,2329,460.82,1.16,532.84,0
10.0.251.47,142.251.43.227,58696,443,TCP,25.7407,9,10,6820,2427,486.68,1.3,631.88,0
10.0.251.47,172.217.24.165,8856,443,TCP,25.2709,3,3,253,163,69.33,0.52,35.86,0
10.0.251.47,142.251.223.14,26863,443,TCP,20.5017,39,25,15659,8040,370.3,6.81,2522.52,0
10.0.251.47,8.8.4.4,33974,443,TCP,19.7702,4,5,246,3558,422.67,151.25,63928.48,0
10.0.251.47,8.8.4.4,46365,443,TCP,19.7098,3,4,186,1980,309.43,408.07,126267.93,0
10.0.251.47,8.8.8.8,16185,443,TCP,19.525,3,4,186,1980,309.43,209.57,64846.42,0
10.0.251.47,8.8.8.8,40211,443,TCP,19.4905,3,4,186,1980,309.43,424.17,131248.86,0
10.0.251.47,8.8.4.4,54500,443,TCP,12.5277,3,4,186,2012,314.0,404.13,126897.99,0
10.0.251.47,8.8.4.4,13666,443,TCP,12.5093,3,4,186,1948,304.86,91.0,27741.31,0
10.0.251.47,8.8.8.8,17681,443,TCP,12.4059,3,4,186,2012,314.0,96.8,30396.06,0
10.0.251.47,8.8.8.8,57884,443,TCP,12.333,4,4,246,2044,286.25,515.0,147418.57,0
10.0.251.47,172.3.2.81,21112,7680,TCP,54.551,0,5,0,330,66.0,0.33,21.94,0
10.0.251.47,140.82.114.21,18245,443,TCP,41.5016,3,3,219,163,63.67,0.2,12.75,0
10.0.251.47,172.1.46.72,24549,7680,TCP,11.7287,3,5,186,357,67.88,462.53,31394.54,0
10.0.251.47,142.251.43.195,45342,443,TCP,71.6927,4,4,319,218,67.12,0.13,8.99,0
10.0.251.47,193.84.4.4,23574,53,TCP,15.1212,5,6,419,375,72.18,93.82,6772.09,0
10.0.251.47,193.84.4.4,14057,53,TCP,15.121,5,6,380,375,68.64,101.51,6967.45,0
10.0.251.47,193.84.4.4,19083,53,TCP,10.7126,5,6,422,366,71.64,105.95,7590.21,0
10.0.251.47,193.84.4.4,24157,53,TCP,10.7124,5,6,388,366,68.55,106.07,7270.34,0
10.0.251.47,8.8.8.8,2034,443,TCP,10.6212,3,4,186,1948,304.86,358.72,109357.38,0
10.0.251.47,8.8.8.8,39090,443,TCP,10.6009,3,4,186,2012,314.0,412.66,129576.14,0
10.0.251.47,142.251.157.119,33626,443,TCP,55.7739,2,2,120,110,57.5,0.09,5.1,0
10.0.251.47,142.251.150.119,24545,443,TCP,51.2437,8,8,5700,2254,497.12,0.47,236.07,0
10.0.251.47,172.1.42.102,24546,7680,TCP,46.6206,0,5,0,330,66.0,0.33,21.97,0
10.0.251.47,8.8.8.8,13053,53,TCP,17.5551,5,6,392,371,69.36,106.38,7378.61,0
10.0.251.47,8.8.8.8,32005,53,TCP,17.555,5,6,351,371,65.64,106.54,6992.94,0
10.0.251.47,142.250.182.67,43947,443,TCP,87.3599,4,4,319,218,67.12,0.12,7.97,0
10.0.251.47,172.3.1.223,24548,7680,TCP,54.3516,0,5,0,330,66.0,0.33,21.97,0
10.0.251.47,142.251.223.14,4370,443,TCP,91.7581,4,4,319,218,67.12,0.1,6.9,0
10.0.251.47,8.8.8.8,64042,443,TCP,17.8362,4,5,246,3558,422.67,159.2,67290.51,0
10.0.251.47,8.8.8.8,64043,443,TCP,17.7792,3,4,186,1980,309.43,416.07,128744.65,0
10.0.251.47,172.1.46.72,64044,7680,TCP,11.8447,3,5,186,357,67.88,397.63,26989.41,0
10.0.251.47,142.251.43.131,24547,80,TCP,75.3723,4,6,545,538,108.3,0.17,18.03,0
10.0.251.47,8.8.8.8,48997,53,TCP,17.8541,5,6,448,378,75.09,104.69,7861.05,0
10.0.251.47,8.8.8.8,26683,53,TCP,17.854,5,6,382,378,69.09,104.79,7240.09,0
10.0.251.47,57.144.168.141,34737,443,TCP,17.7654,16,12,3994,3948,283.64,45.19,12818.05,0
10.0.251.47,20.189.173.14,6481,443,TCP,140.0463,13,12,924,6363,291.48,0.2,58.95,0
10.0.251.47,142.251.221.106,17857,443,TCP,116.2316,5,5,385,273,65.8,0.1,6.28,0
10.0.251.47,172.1.25.85,64040,7680,TCP,46.7626,0,5,0,330,66.0,0.33,21.95,0
10.0.251.47,142.250.183.170,20038,443,TCP,109.2613,5,5,385,273,65.8,0.11,7.01,0
10.0.251.21,10.0.251.47,61421,7680,TCP,57.8036,5,6,274,366,58.18,0.26,15.13,0
10.0.251.47,10.0.251.68,64041,7680,TCP,52.0758,0,4,0,264,66.0,0.31,20.39,0
10.0.251.47,8.8.8.8,19563,53,TCP,12.1378,5,6,355,366,65.55,87.53,5737.34,0
10.0.251.47,8.8.8.8,26882,53,TCP,12.1376,6,6,406,366,64.33,95.82,6164.41,0
10.0.251.47,20.190.146.37,32645,443,TCP,128.7433,25,18,26562,8807,822.53,0.39,321.57,0
10.0.251.47,193.84.4.4,47352,53,TCP,12.7778,4,7,252,490,67.45,28.89,1948.48,0
10.0.251.47,193.84.4.4,34114,53,TCP,12.7776,5,6,404,387,71.91,62.25,4476.51,0
10.0.251.47,142.250.77.106,62695,443,TCP,12.519,7,8,1940,2790,315.33,140.38,44265.18,0
10.0.251.47,172.1.46.72,62696,7680,TCP,11.9443,3,5,186,357,67.88,170.56,11576.59,0
10.0.251.47,8.8.4.4,50246,443,TCP,10.2691,3,4,186,2012,314.0,381.83,119893.09,0
10.0.251.47,8.8.4.4,19602,443,TCP,10.2496,3,4,186,1948,304.86,473.13,144237.92,0
10.0.251.47,8.8.8.8,45289,53,TCP,15.1689,5,6,396,382,70.73,71.17,5033.81,0
10.0.251.47,8.8.8.8,12050,53,TCP,15.1688,5,6,362,382,67.64,113.6,7683.57,0
10.0.251.47,172.3.2.105,34738,7680,TCP,46.8939,0,5,0,330,66.0,0.33,21.95,0
10.0.251.47,8.8.8.8,2034,53,TCP,11.6106,5,6,359,370,66.27,110.57,7327.59,0
10.0.251.47,8.8.8.8,43956,53,TCP,11.6103,5,6,468,370,76.18,107.62,8198.73,0
10.0.251.47,172.3.1.140,34739,7680,TCP,54.2703,0,5,0,330,66.0,0.33,21.94,0
10.0.251.47,193.84.4.4,55697,53,TCP,19.803,5,6,419,369,71.64,51.25,3671.08,0
10.0.251.47,193.84.4.4,1206,53,TCP,19.8028,5,6,368,369,67.0,34.74,2327.29,0
10.0.251.47,172.1.25.108,1100,7680,TCP,14.264,3,5,186,357,67.88,359.28,24385.86,0
10.0.251.47,142.251.157.119,11491,443,TCP,29.8095,9,9,5800,2372,454.0,1.76,798.14,0
10.0.251.47,193.84.4.4,21877,53,TCP,19.7415,5,6,453,375,75.27,59.7,4493.48,0
10.0.251.47,193.84.4.4,1165,53,TCP,19.7413,5,6,485,375,78.18,59.75,4671.17,0
10.0.251.47,8.8.8.8,40295,53,TCP,15.3359,5,6,448,378,75.09,66.35,4982.03,0
10.0.251.47,8.8.8.8,59218,53,TCP,15.3356,5,6,382,378,69.09,66.47,4592.37,0
10.0.251.47,57.144.168.141,51424,443,TCP,15.2416,14,13,3319,5483,326.0,55.98,18248.46,0
10.0.251.47,193.84.4.4,15427,53,TCP,14.8105,4,7,252,466,65.27,30.43,1986.47,0
10.0.251.47,193.84.4.4,23182,53,TCP,14.8103,5,6,428,375,73.0,66.31,4840.94,0
10.0.251.47,193.84.4.4,53421,53,TCP,14.2482,4,6,246,390,63.6,68.87,4380.23,0
10.0.251.47,193.84.4.4,60823,53,TCP,14.2481,5,6,554,390,85.82,95.97,8236.27,0
10.0.251.47,172.1.46.72,13871,7680,TCP,12.0588,3,5,186,357,67.88,88.1,5979.72,0
10.0.251.47,104.18.32.47,23183,443,TCP,24.7326,62,34,104528,10563,1198.86,12.65,15165.02,0
10.0.251.47,13.107.5.93,34655,443,TCP,23.1146,24,14,17061,4371,564.0,4.52,2551.19,0
10.0.251.47,20.189.172.73,21585,443,TCP,19.0309,14,10,5788,2401,341.21,23.69,8081.93,0
172.1.42.69,10.0.251.47,64802,7680,TCP,16.5757,3,5,174,375,68.62,540.47,37089.58,0
10.0.251.47,172.64.155.209,21586,443,TCP,14.7301,18,13,12370,8854,684.65,292.33,200145.22,0
10.0.251.47,172.64.155.209,21587,443,TCP,14.5596,10,12,5420,7340,580.0,5.07,2939.33,0
10.0.251.47,193.84.4.4,39411,53,TCP,14.0918,5,6,633,375,91.64,55.23,5061.1,0
10.0.251.47,193.84.4.4,19435,53,TCP,14.0916,5,6,590,375,87.73,36.39,3192.28,0
10.0.251.47,193.84.4.4,1825,53,TCP,13.9578,6,6,439,373,67.67,71.2,4817.96,0
10.0.251.47,193.84.4.4,25019,53,TCP,13.9577,5,6,370,373,67.55,65.38,4416.0,0
10.0.251.47,172.1.25.149,1099,7680,TCP,46.9104,0,5,0,330,66.0,0.33,21.94,0
10.0.251.47,142.251.157.119,30018,443,TCP,23.9766,9,9,4610,3820,468.33,1.7,794.98,0
10.0.251.47,142.251.157.119,45267,443,TCP,23.4057,9,8,5850,2286,478.59,1.59,760.73,0
10.0.251.47,193.84.4.4,51442,53,TCP,17.2575,5,6,419,375,72.18,89.42,6454.24,0
10.0.251.47,193.84.4.4,18343,53,TCP,17.2573,5,6,374,375,68.09,80.73,5496.76,0
10.0.251.47,172.1.25.138,18347,7680,TCP,14.2741,3,5,186,357,67.88,338.95,23006.52,0
10.0.251.47,142.250.66.10,22838,443,TCP,212.2716,7,7,517,383,64.29,0.07,4.62,0
10.0.251.47,142.251.43.234,19507,443,TCP,204.5528,24,18,9551,3385,308.0,0.22,67.66,0
10.0.251.47,3.233.158.39,18345,443,TCP,25.0275,17,18,5020,9495,414.71,5.69,2359.88,0
10.0.251.47,172.217.24.3,18348,443,TCP,23.763,18,15,6221,3569,296.67,2.61,774.09,0
10.0.251.47,142.251.157.119,60083,443,TCP,22.779,7,8,4489,2242,448.73,1.42,638.74,0
10.0.251.47,172.1.46.72,31566,7680,TCP,12.1186,3,5,186,357,67.88,523.42,35527.35,0
10.0.251.47,142.250.66.10,5163,443,TCP,212.8482,7,7,517,383,64.29,0.07,4.66,0
10.0.251.47,142.251.153.119,2102,443,TCP,81.6632,10,9,5860,2309,429.95,0.27,117.49,0
10.0.251.47,193.84.4.4,16914,53,TCP,19.105,5,6,422,366,71.64,85.78,6145.02,0
10.0.251.47,193.84.4.4,29958,53,TCP,19.1048,5,6,382,366,68.0,88.15,5994.5,0
10.0.251.47,8.8.4.4,64716,443,TCP,18.9941,3,4,186,2012,314.0,402.04,126242.03,0
10.0.251.47,8.8.4.4,5989,443,TCP,18.9759,3,4,186,1980,309.43,439.81,136089.47,0
10.0.251.47,216.239.38.223,55594,443,TCP,222.0361,23,19,7385,5370,303.69,0.2,60.83,0
10.0.251.47,172.3.2.41,18344,7680,TCP,47.022,0,5,0,330,66.0,0.33,21.95,0
10.0.251.47,10.0.251.93,60084,7680,TCP,52.5441,0,5,0,330,66.0,0.33,21.94,0
10.0.251.47,8.8.8.8,19016,443,TCP,19.0018,3,4,186,2012,314.0,448.43,140807.17,0
10.0.251.47,8.8.8.8,26137,443,TCP,18.9854,4,4,246,1980,278.25,106.69,29685.54,0
10.0.251.47,193.84.4.4,6995,53,TCP,10.8338,5,6,422,366,71.64,83.67,5993.67,0
10.0.251.47,193.84.4.4,1122,53,TCP,10.8336,5,6,382,366,68.0,83.77,5696.44,0
10.0.251.47,8.8.4.4,7157,443,TCP,10.7161,3,4,186,2012,314.0,295.47,92777.85,0
10.0.251.47,8.8.4.4,8712,443,TCP,10.6918,3,4,186,2012,314.0,372.84,117070.57,0
10.0.251.47,142.251.153.119,61623,443,TCP,28.185,8,8,5698,2286,499.0,1.44,716.61,0
10.0.251.47,8.8.8.8,20689,53,TCP,18.3768,5,6,448,378,75.09,93.34,7009.15,0
10.0.251.47,8.8.8.8,57295,53,TCP,18.3766,5,6,388,378,69.64,95.64,6660.06,0
10.0.251.47,57.144.168.141,56136,443,TCP,18.2767,14,13,3886,4100,295.78,32.94,9743.17,0
10.0.251.47,150.171.110.83,1368,443,TCP,102.392,49,25,82158,6363,1196.23,0.82,981.62,0
10.0.251.47,10.0.251.159,61624,7680,TCP,37.0897,0,4,0,264,66.0,0.57,37.57,0
10.0.251.47,8.8.4.4,60410,443,TCP,11.9731,3,4,186,2012,314.0,114.5,35952.63,0
10.0.251.47,8.8.4.4,48511,443,TCP,11.9107,3,4,186,1980,309.43,399.32,123559.61,0
172.3.1.214,239.255.255.250,57147,1900,UDP,300.8501,0,1,0,353,353.0,0.0,0.0,0
172.3.1.214,239.255.255.250,38982,1900,UDP,300.8346,0,1,0,409,409.0,0.0,0.0,0
172.3.1.214,239.255.255.250,53688,1900,UDP,300.8213,0,1,0,362,362.0,0.0,0.0,0
172.3.2.135,224.0.0.252,59384,5355,UDP,300.8185,0,1,0,75,75.0,0.0,0.0,0
172.3.1.214,239.255.255.250,58895,1900,UDP,300.8113,0,1,0,419,419.0,0.0,0.0,0
172.3.1.214,239.255.255.250,41301,1900,UDP,300.7417,0,1,0,417,417.0,0.0,0.0,0
10.0.251.77,10.0.255.255,138,138,UDP,300.7371,0,1,0,236,236.0,0.0,0.0,0
172.3.1.214,239.255.255.250,53515,1900,UDP,300.7275,0,1,0,407,407.0,0.0,0.0,0
10.0.251.159,10.0.255.255,138,138,UDP,300.5161,0,1,0,243,243.0,0.0,0.0,0
10.0.251.10,10.0.255.255,138,138,UDP,300.512,0,1,0,243,243.0,0.0,0.0,0
10.0.251.47,193.84.4.4,53280,53,UDP,300.4954,1,1,370,92,231.0,50.62,11693.83,0
10.0.251.47,193.84.4.4,50399,53,UDP,300.4953,1,1,350,92,221.0,50.86,11239.38,0
10.0.251.47,57.144.168.34,37921,443,TCP,287.9502,71,58,19594,23553,334.47,0.46,155.33,0
10.0.251.47,142.251.222.170,54818,443,TCP,145.4334,21,20,5341,8721,342.98,0.32,109.84,0
10.0.251.47,193.84.4.4,30671,53,TCP,11.5742,5,6,422,366,71.64,64.32,4608.0,0
10.0.251.47,193.84.4.4,8085,53,TCP,11.574,5,6,382,366,68.0,64.39,4378.39,0
10.0.251.47,8.8.4.4,28192,443,TCP,11.4143,3,4,186,1980,309.43,422.68,130789.2,0
10.0.251.47,8.8.4.4,54416,443,TCP,11.3971,3,4,186,2044,318.57,581.73,185323.69,0
172.3.1.245,224.0.0.251,59122,5353,UDP,310.8422,0,9,0,864,96.0,3.39,325.91,0
172.3.2.122,224.0.0.251,63865,5353,UDP,310.7513,0,15,0,1438,95.87,3.04,291.03,0
10.0.251.83,239.255.255.250,59979,1900,UDP,310.2054,0,3,0,537,179.0,0.46,82.39,0
10.0.251.69,239.255.255.250,51312,1900,UDP,310.0196,0,3,0,651,217.0,1.23,265.99,0
172.1.25.122,224.0.0.251,63995,5353,UDP,309.9113,0,18,0,1846,102.56,4.61,473.26,0
172.1.25.107,224.0.0.251,55155,5353,UDP,309.9012,0,22,0,2254,102.45,3.47,355.95,0
172.3.2.26,224.0.0.251,5353,5353,UDP,309.8243,0,1,0,87,87.0,0.0,0.0,0
